Map Label,Property ID,Property Type,Address,City,State,Zipcode,Complex,Park Service Area,Property Alias,Real Estate Land ID,Supervisorial District,Ownership,Acres,Square Feet,Perimeter Length,Geom
Maritime Plaza,142,Civic Plaza or Square,285 Washington Street,San Francisco,CA,94111,PSA1,North Beach Complex,,0000000254,03,Recreation and Park Department,2.01277203,87675.99885853,3208.81540812,"POLYGON ((-122.39938689577525 37.795256531948745, -122.40023848915182 37.79514801437771, -122.40036024604106 37.79580579313919, -122.39952022867807 37.79591285878548, -122.39950112909922 37.79581885842165, -122.39947720843936 37.79582190411477, -122.399382070011 37.79535357808793, -122.39940599052395 37.79535053241386, -122.39938689577525 37.795256531948745), (-122.39996492171689 37.795238505247056, -122.39974879015608 37.795266043463286, -122.39985926282694 37.79581404510232, -122.40007539594171 37.79578650668644, -122.40004640686215 37.79564269905134, -122.40019135918399 37.795624297462105, -122.40013678472448 37.79535359987244, -122.39999183162094 37.795371995107985, -122.39996492171689 37.795238505247056), (-122.399093086245 37.79596729820405, -122.39826186331051 37.79607323447801, -122.39812854150121 37.7954168719879, -122.39895975783219 37.79531095826098, -122.39897884867155 37.79540495975, -122.39900276917149 37.795401912356056, -122.39909790672758 37.795870251278146, -122.39907398719289 37.795873297771976, -122.399093086245 37.79596729820405), (-122.39859631130838 37.7954129030261, -122.3983801720363 37.79544044334711, -122.39841151803662 37.79559474403697, -122.39826658697277 37.79561327917302, -122.3983152408173 37.79585277830912, -122.39846017120121 37.795834243132354, -122.3984914692585 37.79598834359724, -122.39870760084084 37.795960796915374, -122.39859631130838 37.7954129030261))"
Dearborn Community Garden,137654,Community Garden,59 Dearborn Street,San Francisco,CA,94110,PSA6,Mission Complex,,0000050237,08,SF League of Urban Gardeners (SLUG),0.1542708,6720.00930847,338.00013965,"POLYGON ((-122.42292944414973 37.76228470371929, -122.42294623195549 37.76245996406974, -122.42258404626077 37.762481851092026, -122.42256725930443 37.76230659069069, -122.42292944414973 37.76228470371929))"
